LAT,LON,X,Y,L,W,D,SLIP,RAKE,STRIKE,DIP
38.9383,142.9988,47.2833,65.2764,25,20,23.5006,13.3102,77.1397,194,10.21
38.7205,142.9273,41.0534,41.0651,25,20,23.5006,16.7083,78.2538,194,10.21
38.5026,142.8558,34.8234,16.8538,25,20,23.5006,15.699,67.2806,194,10.21
38.2847,142.7843,28.5935,-7.3575,25,20,23.5006,14.7551,75.3684,194,10.21
38.0668,142.7128,22.3636,-31.5688,25,20,23.5006,13.2614,81.0663,194,10.21
37.8489,142.6413,16.1337,-55.7802,25,20,23.5006,12.7764,86.3283,194,10.21
37.631,142.5699,9.9038,-79.9915,25,20,23.5006,14.3943,82.8133,194,10.21
37.4131,142.4984,3.6738,-104.2028,25,20,23.5006,9.3586,65.361,194,10.21
37.1953,142.4269,-2.5561,-128.4141,25,20,23.5006,4.4214,86.829,194,10.21
36.9774,142.3554,-8.786,-152.6255,25,20,23.5006,0.5966,85.5745,194,10.21
36.7595,142.2839,-15.0159,-176.8368,25,20,23.5006,0.7532,54.5123,194,10.21
36.5416,142.2124,-21.2459,-201.0481,25,20,23.5006,4.5698,109.8602,194,10.21
36.3237,142.1409,-27.4758,-225.2594,25,20,23.5006,2.3567,114.1832,194,10.21
36.1058,142.0694,-33.7057,-249.4707,25,20,23.5006,0.9874,127.0937,194,10.21
35.888,141.9979,-39.9356,-273.6821,25,20,23.5006,0.7244,127.858,194,10.21
35.6701,141.9264,-46.1655,-297.8934,25,20,23.5006,0.5882,113.244,194,10.21
35.4522,141.855,-52.3955,-322.1047,25,20,23.5006,1.1691,67.8909,194,10.21
40.7256,143.352,78.0603,263.872,25,20,27.0457,0.114,86.6266,194,10.21
40.5077,143.2805,71.8304,239.6607,25,20,27.0457,0.1351,68.9977,194,10.21
40.2898,143.209,65.6005,215.4494,25,20,27.0457,2.0518,63.0663,194,10.21
40.0719,143.1375,59.3705,191.2381,25,20,27.0457,6.3277,50.3376,194,10.21
39.854,143.066,53.1406,167.0267,25,20,27.0457,0.5856,66.7866,194,10.21
39.6361,142.9945,46.9107,142.8154,25,20,27.0457,0.1221,79.4408,194,10.21
39.4183,142.923,40.6808,118.6041,25,20,27.0457,2.4419,51.3494,194,10.21
39.2004,142.8515,34.4509,94.3928,25,20,27.0457,4.4141,117.1435,194,10.21
38.9825,142.7801,28.2209,70.1815,25,20,27.0457,6.6635,60.5532,194,10.21
38.7646,142.7086,21.991,45.9701,25,20,27.0457,16.206,56.1583,194,10.21
38.5467,142.6371,15.7611,21.7588,25,20,27.0457,18.7905,63.2824,194,10.21
38.3288,142.5656,9.5312,-2.4525,25,20,27.0457,23.6336,84.09,194,10.21
38.1109,142.4941,3.3013,-26.6638,25,20,27.0457,15.4551,79.2524,194,10.21
37.8931,142.4226,-2.9287,-50.8752,25,20,27.0457,12.6038,87.2867,194,10.21
37.6752,142.3511,-9.1586,-75.0865,25,20,27.0457,11.0091,83.196,194,10.21
37.4573,142.2796,-15.3885,-99.2978,25,20,27.0457,5.8443,56.7588,194,10.21
37.2394,142.2081,-21.6184,-123.5091,25,20,27.0457,2.7088,99.4984,194,10.21
37.0215,142.1366,-27.8484,-147.7204,25,20,27.0457,3.7822,81.913,194,10.21
36.8036,142.0651,-34.0783,-171.9318,25,20,27.0457,0.0933,113.3492,194,10.21
36.5858,141.9937,-40.3082,-196.1431,25,20,27.0457,0.0291,115.0561,194,10.21
36.3679,141.9222,-46.5381,-220.3544,25,20,27.0457,1.4293,108.4817,194,10.21
36.15,141.8507,-52.768,-244.5657,25,20,27.0457,0.0029,102.0927,194,10.21
35.9321,141.7792,-58.998,-268.777,25,20,27.0457,0.3268,112.9278,194,10.21
35.7142,141.7077,-65.2279,-292.9884,25,20,27.0457,1.0701,73.1029,194,10.21
35.4963,141.6362,-71.4578,-317.1997,25,20,27.0457,2.1581,91.1453,194,10.21
40.7697,143.1332,58.998,268.777,25,20,30.5908,1.1053,116.8331,194,10.21
40.5518,143.0617,52.768,244.5657,25,20,30.5908,2.0451,118.1955,194,10.21
40.3339,142.9903,46.5381,220.3544,25,20,30.5908,1.1425,67.3404,194,10.21
40.116,142.9188,40.3082,196.1431,25,20,30.5908,6.0795,54.0621,194,10.21
39.8982,142.8473,34.0783,171.9318,25,20,30.5908,1.7207,118.8525,194,10.21
39.6803,142.7758,27.8484,147.7204,25,20,30.5908,0.0266,104.2695,194,10.21
39.4624,142.7043,21.6184,123.5091,25,20,30.5908,1.2643,93.1275,194,10.21
39.2445,142.6328,15.3885,99.2978,25,20,30.5908,4.908,115.735,194,10.21
39.0266,142.5613,9.1586,75.0865,25,20,30.5908,3.4455,76.5542,194,10.21
38.8087,142.4898,2.9287,50.8752,25,20,30.5908,7.602,67.0403,194,10.21
38.5909,142.4183,-3.3013,26.6638,25,20,30.5908,13.3696,71.0492,194,10.21
38.373,142.3468,-9.5312,2.4525,25,20,30.5908,18.4751,96.9363,194,10.21
38.1551,142.2753,-15.7611,-21.7588,25,20,30.5908,13.7018,114.6763,194,10.21
37.9372,142.2039,-21.991,-45.9701,25,20,30.5908,8.1362,104.6357,194,10.21
37.7193,142.1324,-28.2209,-70.1815,25,20,30.5908,7.3253,78.3159,194,10.21
37.5014,142.0609,-34.4509,-94.3928,25,20,30.5908,3.1998,79.581,194,10.21
