Site,Event,Depth,Accuracy,TPR,FPR,F1,G
Rikuzentakata,FUJI2011_42,15m+,0.998,,0.001654632972322503,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.912,0.9908835904628331,0.10934507851397932,0.19695586390806125,0.67
Rikuzentakata,FUJI2011_42,1m-2m,0.926,0.052083333333333336,0.0481722428748451,0.050051499935625084,0.55
Rikuzentakata,FUJI2011_42,2m-5m,0.816,0.16751918158567775,0.09751108080463688,0.12326876413736378,0.408
Rikuzentakata,FUJI2011_42,5m-10m,0.82,0.5572815533980583,0.10092102684695277,0.17089397185547806,0.055
Rikuzentakata,FUJI2011_42,10m-15m,0.909,0.805401405845357,0.01926489226869455,0.03762969664735851,0.009
Rikuzentakata,FUJI2011_42,15m+,0.998,,0.001654632972322503,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.911,0.9922861150070126,0.11106855610877059,0.1997758090409082,0.673
Rikuzentakata,FUJI2011_42,1m-2m,0.926,0.052083333333333336,0.0481722428748451,0.050051499935625084,0.549
Rikuzentakata,FUJI2011_42,2m-5m,0.815,0.15601023017902813,0.09768155472212751,0.12014044398309585,0.416
Rikuzentakata,FUJI2011_42,5m-10m,0.818,0.5572815533980583,0.102880658436214,0.17369516800619736,0.057
Rikuzentakata,FUJI2011_42,10m-15m,0.909,0.8028116907140215,0.01850443599493029,0.03617505382811928,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0012033694344163659,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.913,0.9901823281907434,0.10762160091918806,0.19414214967908994,0.667
Rikuzentakata,FUJI2011_42,1m-2m,0.925,0.0625,0.04894671623296159,0.05489923558026407,0.531
Rikuzentakata,FUJI2011_42,2m-5m,0.816,0.17135549872122763,0.09836345039209,0.1249828249241468,0.4
Rikuzentakata,FUJI2011_42,5m-10m,0.815,0.5605177993527508,0.10758377425044091,0.18051931853325065,0.056
Rikuzentakata,FUJI2011_42,10m-15m,0.907,0.7950425453200148,0.016730038022813688,0.03277048840005254,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0007521058965102287,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.912,0.9908835904628331,0.10953657602451168,0.1972664606550019,0.659
Rikuzentakata,FUJI2011_42,1m-2m,0.924,0.057291666666666664,0.04972118959107807,0.05323864664374887,0.553
Rikuzentakata,FUJI2011_42,2m-5m,0.816,0.15601023017902813,0.09648823729969315,0.11923361168092939,0.411
Rikuzentakata,FUJI2011_42,5m-10m,0.821,0.5572815533980583,0.09896139525769156,0.16807604619177613,0.055
Rikuzentakata,FUJI2011_42,10m-15m,0.91,0.808361080281169,0.02002534854245881,0.039082514675612745,0.009
Rikuzentakata,FUJI2011_42,15m+,0.998,,0.0019554753309265946,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.912,0.9908835904628331,0.10934507851397932,0.19695586390806125,0.65
Rikuzentakata,FUJI2011_42,1m-2m,0.926,0.057291666666666664,0.04863692688971499,0.05261073539267654,0.525
Rikuzentakata,FUJI2011_42,2m-5m,0.817,0.1649616368286445,0.09631776338220252,0.12162256871670958,0.407
Rikuzentakata,FUJI2011_42,5m-10m,0.823,0.5592233009708738,0.0975896531452087,0.16617945072630516,0.054
Rikuzentakata,FUJI2011_42,10m-15m,0.911,0.8105808361080281,0.01977186311787072,0.03860213461686368,0.008
Rikuzentakata,FUJI2011_42,15m+,0.998,,0.00210589651022864,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.912,0.9901823281907434,0.10953657602451168,0.19725255509250303,0.678
Rikuzentakata,FUJI2011_42,1m-2m,0.925,0.057291666666666664,0.04879182156133829,0.052701222850885195,0.56
Rikuzentakata,FUJI2011_42,2m-5m,0.815,0.1636828644501279,0.09853392430958063,0.12301512083029884,0.412
Rikuzentakata,FUJI2011_42,5m-10m,0.816,0.5553398058252427,0.10464432686654909,0.17610471914154657,0.057
Rikuzentakata,FUJI2011_42,10m-15m,0.908,0.7994820569737329,0.017997465145754118,0.03520247312797506,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0012033694344163659,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.912,0.9908835904628331,0.10915358100344695,0.19664515902204066,0.66
Rikuzentakata,FUJI2011_42,1m-2m,0.925,0.052083333333333336,0.04863692688971499,0.05030116621812123,0.536
Rikuzentakata,FUJI2011_42,2m-5m,0.816,0.16624040920716113,0.09717013296965564,0.12264962923728814,0.407
Rikuzentakata,FUJI2011_42,5m-10m,0.821,0.5585760517799353,0.09994121105232216,0.16954685998545024,0.055
Rikuzentakata,FUJI2011_42,10m-15m,0.911,0.8079911209766926,0.019011406844106463,0.037148732707724175,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0013537906137184115,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.912,0.9901823281907434,0.10915358100344695,0.19663134091121195,0.67
Rikuzentakata,FUJI2011_42,1m-2m,0.925,0.057291666666666664,0.04894671623296159,0.05279144644918291,0.541
Rikuzentakata,FUJI2011_42,2m-5m,0.816,0.1636828644501279,0.09751108080463688,0.12221487757813698,0.407
Rikuzentakata,FUJI2011_42,5m-10m,0.818,0.5585760517799353,0.1038604742308446,0.17515330557395267,0.056
Rikuzentakata,FUJI2011_42,10m-15m,0.908,0.8009618941916389,0.01850443599493029,0.03617317163494175,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0012033694344163659,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.91,0.9922861150070126,0.1120260436614324,0.20132330658832054,0.67
Rikuzentakata,FUJI2011_42,1m-2m,0.927,0.057291666666666664,0.04755266418835192,0.051969836872883965,0.567
Rikuzentakata,FUJI2011_42,2m-5m,0.815,0.1547314578005115,0.09717013296965564,0.11937420707106546,0.419
Rikuzentakata,FUJI2011_42,5m-10m,0.819,0.5566343042071198,0.1011169900058789,0.17114427860696518,0.056
Rikuzentakata,FUJI2011_42,10m-15m,0.909,0.8050314465408805,0.01926489226869455,0.03762929267141675,0.009
Rikuzentakata,FUJI2011_42,15m+,0.998,,0.001654632972322503,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.912,0.9908835904628331,0.10972807353504405,0.19757694931930858,0.679
Rikuzentakata,FUJI2011_42,1m-2m,0.926,0.0625,0.0481722428748451,0.054408677396780965,0.543
Rikuzentakata,FUJI2011_42,2m-5m,0.816,0.1649616368286445,0.09665871121718377,0.12189402953734164,0.408
Rikuzentakata,FUJI2011_42,5m-10m,0.82,0.5598705501618123,0.10092102684695277,0.17101522715974024,0.055
Rikuzentakata,FUJI2011_42,10m-15m,0.91,0.80614132445431,0.019011406844106463,0.037146773225683265,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0013537906137184115,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.911,0.9922861150070126,0.11087705859823822,0.19946598717629097,0.653
Rikuzentakata,FUJI2011_42,1m-2m,0.925,0.057291666666666664,0.04925650557620818,0.052971106669089586,0.545
Rikuzentakata,FUJI2011_42,2m-5m,0.814,0.149616368286445,0.09734060688714627,0.11794563064287758,0.418
Rikuzentakata,FUJI2011_42,5m-10m,0.819,0.5559870550161812,0.10150891632373114,0.171674492026775,0.056
Rikuzentakata,FUJI2011_42,10m-15m,0.909,0.8050314465408805,0.019011406844106463,0.0371455933137932,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0013537906137184115,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.91,0.9922861150070126,0.11240903868249713,0.2019415544883951,0.68
Rikuzentakata,FUJI2011_42,1m-2m,0.926,0.052083333333333336,0.04770755885997522,0.04979950847238391,0.566
Rikuzentakata,FUJI2011_42,2m-5m,0.813,0.15089514066496162,0.09819297647459939,0.11896868600234548,0.422
Rikuzentakata,FUJI2011_42,5m-10m,0.817,0.5546925566343042,0.10346854791299236,0.17440481662183172,0.057
Rikuzentakata,FUJI2011_42,10m-15m,0.908,0.8013318534961155,0.01875792141951838,0.036657742599908616,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0013537906137184115,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.912,0.9908835904628331,0.10953657602451168,0.1972664606550019,0.672
Rikuzentakata,FUJI2011_42,1m-2m,0.925,0.052083333333333336,0.04894671623296159,0.050466334483199184,0.549
Rikuzentakata,FUJI2011_42,2m-5m,0.816,0.16112531969309463,0.09699965905216502,0.1210971611571574,0.41
Rikuzentakata,FUJI2011_42,5m-10m,0.818,0.5585760517799353,0.10327258475406624,0.17431657168964054,0.056
Rikuzentakata,FUJI2011_42,10m-15m,0.908,0.8017018128005919,0.01926489226869455,0.03762564050369632,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0013537906137184115,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.911,0.9922861150070126,0.11068556108770586,0.19915605772937212,0.665
Rikuzentakata,FUJI2011_42,1m-2m,0.926,0.0625,0.0484820322180917,0.05460572226099093,0.533
Rikuzentakata,FUJI2011_42,2m-5m,0.816,0.15601023017902813,0.0961472894647119,0.11897294026108758,0.412
Rikuzentakata,FUJI2011_42,5m-10m,0.821,0.5585760517799353,0.09954928473446992,0.16898254280559727,0.055
Rikuzentakata,FUJI2011_42,10m-15m,0.91,0.8087310395856456,0.01977186311787072,0.0386000323274252,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0013537906137184115,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.911,0.9922861150070126,0.11145155112983532,0.20039513024722289,0.673
Rikuzentakata,FUJI2011_42,1m-2m,0.926,0.052083333333333336,0.04801734820322181,0.04996776273372018,0.556
Rikuzentakata,FUJI2011_42,2m-5m,0.814,0.15601023017902813,0.09785202863961814,0.12026929550372685,0.418
Rikuzentakata,FUJI2011_42,5m-10m,0.819,0.5553398058252427,0.10170487948265726,0.1719236736445435,0.057
Rikuzentakata,FUJI2011_42,10m-15m,0.909,0.804661487236404,0.01875792141951838,0.03666121247137231,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0013537906137184115,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.911,0.9915848527349228,0.11106855610877059,0.1997615877650777,0.668
Rikuzentakata,FUJI2011_42,1m-2m,0.926,0.052083333333333336,0.04770755885997522,0.04979950847238391,0.551
Rikuzentakata,FUJI2011_42,2m-5m,0.815,0.159846547314578,0.09734060688714627,0.12099795553717159,0.413
Rikuzentakata,FUJI2011_42,5m-10m,0.818,0.5579288025889968,0.102880658436214,0.1737265761353697,0.056
Rikuzentakata,FUJI2011_42,10m-15m,0.908,0.802441731409545,0.019011406844106463,0.037142827786739545,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0013537906137184115,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.912,0.9908835904628331,0.10934507851397932,0.19695586390806125,0.66
Rikuzentakata,FUJI2011_42,1m-2m,0.925,0.0625,0.04910161090458488,0.054996530187369885,0.526
Rikuzentakata,FUJI2011_42,2m-5m,0.816,0.159846547314578,0.09648823729969315,0.12033725045966277,0.408
